📚 Total unique words to fetch: 3097
   C1: 2757
   C2: 340
   (skipped 4955 Oxford 5000 words)

🚀 Fetching 3097 words...

  [1/3097] aboveboard... ✅ C1
  [2/3097] abysmal... ✅ C1
  [3/3097] acme... ✅ C1
  [4/3097] affable... ✅ C1
  [5/3097] affluent... ✅ C1
  [6/3097] altruism... ✅ C1
  [7/3097] amiable... ✅ C1
  [8/3097] amply... ✅ C1
  [9/3097] amuck... ❌ not found
  [10/3097] analogous... ✅ C1
  [11/3097] animosity... ✅ C1
  [12/3097] antedate... ✅ C1
  [13/3097] antiquated... ✅ C1
  [14/3097] apex... ✅ C1
  [15/3097] aphorism... ✅ C1
  [16/3097] aphoristic... ❌ not found
  [17/3097] appreciable... ✅ C1
  [18/3097] apprehension... ✅ C1
  [19/3097] archaic... ✅ C1
  [20/3097] ascendancy... ✅ C1
  [21/3097] ascribe... ✅ C1
  [22/3097] assail... ✅ C1
  [23/3097] assuage... ✅ C1
  [24/3097] augment... ✅ C1
  [25/3097] autonomously... ✅ C1
  [26/3097] avarice... ✅ C1
  [27/3097] avert... ✅ C1
  [28/3097] avid... ✅ C1
  [29/3097] badger... ✅ C1
  [30/3097] balk... ✅ C1
  [31/3097] banish... ✅ C1
  [32/3097] beatific... ✅ C1
  [33/3097] becoming... ✅ C1
  [34/3097] begrudge... ✅ C1
  [35/3097] behoove... ✅ C1
  [36/3097] belittle... ✅ C1
  [37/3097] bellicose... ✅ C1
  [38/3097] benign... ✅ C1
  [39/3097] besiege... ✅ C1
  [40/3097] besmirch... ✅ C1
  [41/3097] bleak... ✅ C1
  [42/3097] boon... ✅ C1
  [43/3097] boorish... ✅ C1
  [44/3097] brusquely... ❌ not found
  [45/3097] buttress... ✅ C1
  [46/3097] cadaverous... ✅ C1
  [47/3097] candid... ✅ C1
  [48/3097] candidness... ❌ not found
  [49/3097] cardinal... ✅ C1
  [50/3097] carping... ✅ C1
  [51/3097] catalyst... ✅ C1
  [52/3097] cavalier... ✅ C1
  [53/3097] censor... ✅ C1
  [54/3097] cerebral... ✅ C1
  [55/3097] chauvinist... ✅ C1
